e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
0.67,0.98,0.52,0.41,0.07,0.23,0.03,0.01,0,0.76,0.26,0.1,0.76,0.07,0,0.01,0.21,0.18,0.81,0.04
0.51,0.97,0.31,0.11,0.3,0.49,0.05,0.83,0.68,0.63,0.69,0.25,0.79,0.94,0.92,0.1,0.18,0.7,0.1,0.79
0.52,0.17,0.62,0.95,0.51,0.86,0.55,0.45,0.79,0.05,0.49,0.01,0.9,0.89,0.1,0.89,0.58,0.52,0.84,0.22
0.75,0.97,0.67,0.53,0.17,0.52,0.17,0.98,0.6,0.24,0.27,0.65,0.83,0.94,0.75,0.81,0.24,0.12,0.9,0.56
0.11,0.38,0.46,0.37,0.36,0.56,0.45,0.98,0.52,0.4,0.68,0.78,0.97,0.85,0.09,0.75,0.43,0.66,0.55,0.03
0.93,0.27,0.04,0.78,0.98,0.06,0.52,0.87,0.86,0.77,0.62,0.1,0.9,0.26,0.01,0.3,0.02,0.8,0.02,0.48
0.7,0.32,0.21,0.5,0.53,0.53,0.42,0.56,0.4,0.52,0.5,0.78,0.09,0.48,0.92,0.32,0.26,0.48,0.37,0.76
0.98,0.07,0.35,0.68,0.95,0.91,0.95,0.58,0.57,0.06,0.03,0.81,0.29,0.2,0.22,0.98,0.93,0.38,0.82,0.23
0.01,0.69,0.59,0.22,0.4,0.91,0,0.16,0.87,0.38,0.19,0.45,0.17,0.74,0.94,0.32,0.96,0.66,0.05,0.77
0.25,0.38,0.12,0.69,0.34,0.47,0.62,0.58,0.51,0.14,0.81,0.44,0.08,0.12,0.5,0.3,0.23,0.67,0.09,0.32
0.53,0.27,0.73,0.29,0.19,0.96,0.38,0.29,0.3,0.84,0.16,0.79,0.93,0.89,0.22,0.12,0.35,0.95,0.78,0.88
0.67,0.35,0.39,0.54,0.6,0.85,0.02,0.97,0.56,0.76,0.26,0.91,0.57,0.39,0.66,0.99,0.14,0.46,0.6,0.32
0.92,0.58,0.32,0.05,0.99,0.96,0.27,0.9,0.47,0.85,0.37,0.58,0.36,0.26,0.74,0.5,0.29,0.31,0.17,0.04
0.52,0.63,0.87,0.1,0.09,0.92,0.85,0.37,0.08,0.5,0.86,0.29,0.41,0.66,0.67,0.96,0.81,0.04,0.34,0.93
0.7,0.74,0.22,0.07,0.93,0.71,0.82,0.81,0.15,0.62,0.02,0.74,0.62,0.14,0.1,0.98,0.67,0.05,0.59,0.9
0.68,0.42,0.93,0.13,0.36,0.36,0.18,0.86,0.55,0.71,0.24,0.76,0.26,0,0.08,0.75,0.84,0.76,0.93,0.61
0.38,0.54,0.37,0.68,0.53,0.4,0.53,0.71,0.26,0.66,0.42,0.28,0.2,0.07,0.93,0.01,0.38,0.34,0.13,0.03
0.84,0.44,0.7,0.96,0.4,0.84,0.99,0.9,0.15,0.73,0.07,0.32,0.38,0.78,0.19,0.6,0.46,0.05,0.96,0.66
0.92,0.03,0.96,0.65,0.29,0.39,0.27,0.59,0.87,0.68,0.77,0.27,0.99,0.65,0.85,0.66,0.4,0.5,0.19,0.09
0.29,0.99,0.84,0.24,0.92,0.32,0.53,0.17,0.19,0.81,0.55,0.4,0.44,0.09,0.2,0.07,0.74,0.07,0.78,0.54
0.58,0.41,0.31,0.79,0.81,0.96,0,0.48,0.43,0.84,0.45,0.4,0.9,0.09,0.26,0.4,0.14,0.2,0.51,0.28
0.64,0.48,0.58,0.96,0.27,0.92,0.4,0.84,0.57,0.11,0.95,0,0.77,0.58,0.93,0.95,0.81,0.33,0.01,0.31
0.16,0.19,0.74,0.36,0.88,0.19,0.61,0.09,0.85,0.74,0.6,0.96,0.9,0.6,0.64,0.32,0.57,0.71,0.67,0.84
0.14,0.58,0.54,0.95,0.04,0.72,0.66,0.76,0.07,0.08,0.56,0.43,0.04,0.49,0.9,0.8,0.29,0.69,0.02,0.6
0.23,0.42,0.36,0.33,0.59,0.22,0.03,0.16,0.94,0.49,0.42,0.76,0.51,0.02,0.97,0.59,0.18,0.21,0.58,0.89
0,0.05,0.69,0.69,0.55,0.75,0.42,0.24,0.91,0.1,0.18,0.77,0.2,0.13,0.51,0.28,0.55,0.89,0.15,0.16
0.9,0.04,0.03,0.87,0.52,0.87,0.14,0.81,0.24,0.33,0.25,0.31,0.82,0.47,0.88,0.75,0.73,0.85,0,0.88
